BrickLink Item,Name,BrickLink Color ID,Color,Qty,Est. unit price (USD),Est. total (USD),LDraw part,Qty Lionhold,Qty Millbrook,Qty Ravencrag Keep,Qty Warriors & Weapons,Note
3625,Minifig Hair Female with Pigtails,88,Reddish Brown,1,0.350,0.35,3625,0,0,0,1,
3901,Minifig Hair Male,11,Black,2,0.200,0.40,3901,0,0,0,2,
3901,Minifig Hair Male,120,Dark Brown,2,0.300,0.60,3901,0,0,0,2,
3901,Minifig Hair Male,88,Reddish Brown,3,0.200,0.60,3901,0,0,0,3,
4530,Minifig Hair Shoulder Length,11,Black,1,0.300,0.30,4530,0,0,0,1,
4530,Minifig Hair Shoulder Length,69,Dark Tan,1,0.450,0.45,4530,0,0,0,1,
71015,Minifig Hat Crown,115,Pearl Gold,1,0.900,0.90,71015,0,0,0,1,
30167,Minifig Hat Wide Brim Flat,2,Tan,1,0.350,0.35,30167,0,0,0,1,"Hat, Wide Brim Flat - any peasant hat works"
3626bp01,Minifig Head with Standard Grin Pattern (Blocked Hollow Stud),3,Yellow,14,0.250,3.50,3626bp01,0,0,0,14,
3626bp05,Minifig Head with Standard Grin and Eyebrows Pattern,3,Yellow,5,0.300,1.50,3626bp05,0,0,0,5,
3626bp03,Minifig Head with Standard Grin and Pointed Moustache Pattern,3,Yellow,4,0.400,1.60,3626bp03,0,0,0,4,
3626bp02,Minifig Head with Standard Woman Pattern,3,Yellow,3,0.400,1.20,3626bp02,0,0,0,3,
4503,Minifig Helmet Castle with Fixed Face Grille,95,Flat Silver,2,0.750,1.50,4503,0,0,0,2,Light Bluish Gray also works
3844,Minifig Helmet Castle with Neck Protector,11,Black,4,0.300,1.20,3844,0,0,0,4,
3844,Minifig Helmet Castle with Neck Protector,85,Dark Bluish Gray,3,0.300,0.90,3844,0,0,0,3,
3844,Minifig Helmet Castle with Neck Protector,86,Light Bluish Gray,4,0.300,1.20,3844,0,0,0,4,
2594,Minifig Helmet Visor Pointed,11,Black,2,0.450,0.90,2594,0,0,0,2,
3849,Minifig Lance,11,Black,1,0.300,0.30,3849,0,0,0,1,
3849,Minifig Lance,1,White,1,0.300,0.30,3849,0,0,0,1,
33054,Minifig Mug,88,Reddish Brown,3,0.150,0.45,33054,0,1,0,2,
4496,Minifig Pitchfork,88,Reddish Brown,1,0.150,0.15,4496,0,0,0,1,
6123,Minifig Polearm Halberd,95,Flat Silver,1,0.450,0.45,6123,0,0,0,1,Halberd - any pole arm works
2586,Minifig Shield Ovoid,63,Dark Blue,1,0.375,0.38,2586,0,0,0,1,
2586,Minifig Shield Ovoid,5,Red,1,0.250,0.25,2586,0,0,0,1,
3846,Minifig Shield Triangular,11,Black,1,0.250,0.25,3846,0,0,0,1,
3846,Minifig Shield Triangular,63,Dark Blue,1,0.375,0.38,3846,0,0,0,1,
3846,Minifig Shield Triangular,5,Red,2,0.250,0.50,3846,0,0,0,2,
3846,Minifig Shield Triangular,1,White,1,0.250,0.25,3846,0,0,0,1,
3837,Minifig Shovel,11,Black,1,0.150,0.15,3837,0,0,0,1,
3837,Minifig Shovel,88,Reddish Brown,1,0.150,0.15,3837,0,0,0,1,
4497,Minifig Spear with Round End,11,Black,1,0.100,0.10,4497,0,0,0,1,
4497,Minifig Spear with Round End,88,Reddish Brown,1,0.100,0.10,4497,0,0,0,1,
59,Minifig Sword Greatsword,95,Flat Silver,2,0.300,0.60,59,0,0,0,2,
98370,Minifig Sword Longsword,95,Flat Silver,1,0.225,0.23,98370,0,0,0,1,
3847,Minifig Sword Shortsword,95,Flat Silver,3,0.150,0.45,3847,0,0,0,3,
3835,Minifig Tool Handaxe,95,Flat Silver,1,0.225,0.23,3835,0,0,0,1,
4522,Minifig Tool Mallet,88,Reddish Brown,1,0.150,0.15,4522,0,0,0,1,
3959,Minifig Torch,88,Reddish Brown,1,0.080,0.08,3959,0,0,0,1,
982,Minifigure Arm Left,11,Black,2,0.080,0.16,3819,0,0,0,2,
982,Minifigure Arm Left,63,Dark Blue,6,0.120,0.72,3819,0,0,0,6,
982,Minifigure Arm Left,80,Dark Green,1,0.120,0.12,3819,0,0,0,1,
982,Minifigure Arm Left,59,Dark Red,1,0.120,0.12,3819,0,0,0,1,
982,Minifigure Arm Left,69,Dark Tan,1,0.120,0.12,3819,0,0,0,1,
982,Minifigure Arm Left,155,Olive Green,1,0.120,0.12,3819,0,0,0,1,
982,Minifigure Arm Left,5,Red,8,0.080,0.64,3819,0,0,0,8,
982,Minifigure Arm Left,88,Reddish Brown,2,0.080,0.16,3819,0,0,0,2,
982,Minifigure Arm Left,48,Sand Green,1,0.120,0.12,3819,0,0,0,1,
982,Minifigure Arm Left,2,Tan,2,0.080,0.16,3819,0,0,0,2,
982,Minifigure Arm Left,1,White,1,0.080,0.08,3819,0,0,0,1,
981,Minifigure Arm Right,11,Black,2,0.080,0.16,3818,0,0,0,2,
981,Minifigure Arm Right,63,Dark Blue,6,0.120,0.72,3818,0,0,0,6,
981,Minifigure Arm Right,80,Dark Green,1,0.120,0.12,3818,0,0,0,1,
981,Minifigure Arm Right,59,Dark Red,1,0.120,0.12,3818,0,0,0,1,
981,Minifigure Arm Right,69,Dark Tan,1,0.120,0.12,3818,0,0,0,1,
981,Minifigure Arm Right,155,Olive Green,1,0.120,0.12,3818,0,0,0,1,
981,Minifigure Arm Right,5,Red,8,0.080,0.64,3818,0,0,0,8,
981,Minifigure Arm Right,88,Reddish Brown,2,0.080,0.16,3818,0,0,0,2,
981,Minifigure Arm Right,48,Sand Green,1,0.120,0.12,3818,0,0,0,1,
981,Minifigure Arm Right,2,Tan,2,0.080,0.16,3818,0,0,0,2,
981,Minifigure Arm Right,1,White,1,0.080,0.08,3818,0,0,0,1,
983,Minifigure Hand,3,Yellow,52,0.040,2.08,3820,0,0,0,52,
970c00,Minifigure Hips and Legs (plain),11,Black,11,0.350,3.85,HIPSLEGS,0,0,0,11,
970c00,Minifigure Hips and Legs (plain),63,Dark Blue,3,0.525,1.58,HIPSLEGS,0,0,0,3,
970c00,Minifigure Hips and Legs (plain),120,Dark Brown,3,0.525,1.58,HIPSLEGS,0,0,0,3,
970c00,Minifigure Hips and Legs (plain),69,Dark Tan,3,0.525,1.58,HIPSLEGS,0,0,0,3,
970c00,Minifigure Hips and Legs (plain),5,Red,1,0.350,0.35,HIPSLEGS,0,0,0,1,
970c00,Minifigure Hips and Legs (plain),88,Reddish Brown,2,0.350,0.70,HIPSLEGS,0,0,0,2,
970c00,Minifigure Hips and Legs (plain),2,Tan,1,0.350,0.35,HIPSLEGS,0,0,0,1,
970c00,Minifigure Hips and Legs (plain),1,White,1,0.350,0.35,HIPSLEGS,0,0,0,1,
41879,Minifigure Legs Short,120,Dark Brown,1,0.525,0.53,41879a,0,0,0,1,
973,Minifigure Torso (plain),11,Black,2,0.450,0.90,973,0,0,0,2,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),63,Dark Blue,6,0.675,4.05,973,0,0,0,6,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),80,Dark Green,1,0.675,0.68,973,0,0,0,1,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),59,Dark Red,1,0.675,0.68,973,0,0,0,1,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),69,Dark Tan,1,0.675,0.68,973,0,0,0,1,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),155,Olive Green,1,0.675,0.68,973,0,0,0,1,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),5,Red,7,0.450,3.15,973,0,0,0,7,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),88,Reddish Brown,2,0.450,0.90,973,0,0,0,2,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),48,Sand Green,1,0.675,0.68,973,0,0,0,1,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),2,Tan,2,0.450,0.90,973,0,0,0,2,Torso without arms - alternatively buy a plain torso with arms and hands assembled
973,Minifigure Torso (plain),1,White,2,0.450,0.90,973,0,0,0,2,Torso without arms - alternatively buy a plain torso with arms and hands assembled
2423,Plant Leaves 4 x 3,36,Bright Green,1,0.225,0.23,2423,0,1,0,0,
3470,Plant Tree Oval 4 x 4 x 6,6,Green,2,1.000,2.00,3470,0,2,0,0,
2435,Plant Tree Pyramidal 3 x 3 x 4,80,Dark Green,2,0.900,1.80,2435,0,2,0,0,Green also works
2435,Plant Tree Pyramidal 3 x 3 x 4,6,Green,1,0.600,0.60,2435,0,1,0,0,
3471,Plant Tree Pyramidal 4 x 4 x 6.667 Type 1,6,Green,2,1.000,2.00,3471,0,2,0,0,
3024,Plate 1 x 1,69,Dark Tan,4,0.045,0.18,3024,4,0,0,0,
4073,Plate 1 x 1 Round,98,Trans-Orange,3,0.039,0.12,6141,0,3,0,0,
4073,Plate 1 x 1 Round,17,Trans-Red,1,0.039,0.04,6141,0,1,0,0,
32607,Plate 1 x 1 Round with 3 Leaves,36,Bright Green,16,0.120,1.92,32607,0,16,0,0,
32607,Plate 1 x 1 Round with 3 Leaves,6,Green,8,0.080,0.64,32607,0,8,0,0,
33291,Plate 1 x 1 Round with Tabs,110,Bright Light Orange,5,0.075,0.38,33291,0,5,0,0,
33291,Plate 1 x 1 Round with Tabs,6,Green,8,0.050,0.40,33291,0,8,0,0,
33291,Plate 1 x 1 Round with Tabs,156,Medium Azure,4,0.075,0.30,33291,0,4,0,0,
33291,Plate 1 x 1 Round with Tabs,5,Red,5,0.050,0.25,33291,0,5,0,0,
33291,Plate 1 x 1 Round with Tabs,1,White,5,0.050,0.25,33291,0,5,0,0,
33291,Plate 1 x 1 Round with Tabs,3,Yellow,5,0.050,0.25,33291,0,5,0,0,
3023,Plate 1 x 2,120,Dark Brown,6,0.045,0.27,3023,0,6,0,0,
3023,Plate 1 x 2,85,Dark Bluish Gray,13,0.030,0.39,3023,1,0,12,0,
3023,Plate 1 x 2,86,Light Bluish Gray,11,0.030,0.33,3023,11,0,0,0,
3023,Plate 1 x 2,1,White,9,0.030,0.27,3023,9,0,0,0,
3623,Plate 1 x 3,85,Dark Bluish Gray,2,0.040,0.08,3623,2,0,0,0,
3710,Plate 1 x 4,120,Dark Brown,2,0.075,0.15,3710,0,2,0,0,
3710,Plate 1 x 4,85,Dark Bluish Gray,3,0.050,0.15,3710,0,0,3,0,
3710,Plate 1 x 4,2,Tan,4,0.050,0.20,3710,0,4,0,0,
3666,Plate 1 x 6,120,Dark Brown,8,0.105,0.84,3666,0,8,0,0,
3666,Plate 1 x 6,2,Tan,2,0.070,0.14,3666,1,0,1,0,
3460,Plate 1 x 8,120,Dark Brown,8,0.150,1.20,3460,0,8,0,0,
3460,Plate 1 x 8,85,Dark Bluish Gray,4,0.100,0.40,3460,4,0,0,0,
3832,Plate 2 x 10,11,Black,1,0.180,0.18,3832,0,0,1,0,
2445,Plate 2 x 12,11,Black,2,0.220,0.44,2445,0,0,2,0,
2445,Plate 2 x 12,85,Dark Bluish Gray,2,0.220,0.44,2445,2,0,0,0,
2445,Plate 2 x 12,88,Reddish Brown,1,0.220,0.22,2445,0,1,0,0,
4282,Plate 2 x 16,11,Black,1,0.350,0.35,4282,0,0,1,0,
4282,Plate 2 x 16,85,Dark Bluish Gray,1,0.350,0.35,4282,1,0,0,0,
3022,Plate 2 x 2,11,Black,1,0.040,0.04,3022,0,0,1,0,
3022,Plate 2 x 2,85,Dark Bluish Gray,3,0.040,0.12,3022,3,0,0,0,
3022,Plate 2 x 2,3,Yellow,1,0.040,0.04,3022,1,0,0,0,
4032,Plate 2 x 2 Round with Axlehole,85,Dark Bluish Gray,2,0.050,0.10,4032a,0,0,0,2,
3020,Plate 2 x 4,69,Dark Tan,3,0.105,0.32,3020,0,2,1,0,
3020,Plate 2 x 4,85,Dark Bluish Gray,2,0.070,0.14,3020,2,0,0,0,
3020,Plate 2 x 4,2,Tan,4,0.070,0.28,3020,0,4,0,0,
3795,Plate 2 x 6,11,Black,2,0.100,0.20,3795,0,0,2,0,
3795,Plate 2 x 6,69,Dark Tan,1,0.150,0.15,3795,0,1,0,0,
3795,Plate 2 x 6,88,Reddish Brown,2,0.100,0.20,3795,0,0,0,2,
3795,Plate 2 x 6,2,Tan,1,0.100,0.10,3795,0,1,0,0,
3034,Plate 2 x 8,11,Black,1,0.140,0.14,3034,0,0,1,0,
3034,Plate 2 x 8,120,Dark Brown,4,0.210,0.84,3034,0,4,0,0,
3034,Plate 2 x 8,69,Dark Tan,7,0.210,1.47,3034,0,7,0,0,
3034,Plate 2 x 8,88,Reddish Brown,6,0.140,0.84,3034,0,6,0,0,
3034,Plate 2 x 8,2,Tan,19,0.140,2.66,3034,0,19,0,0,
3030,Plate 4 x 10,88,Reddish Brown,1,0.320,0.32,3030,1,0,0,0,
3031,Plate 4 x 4,88,Reddish Brown,2,0.150,0.30,3031,1,1,0,0,
3032,Plate 4 x 6,69,Dark Tan,2,0.270,0.54,3032,1,0,1,0,
3032,Plate 4 x 6,88,Reddish Brown,4,0.180,0.72,3032,0,2,0,2,
3035,Plate 4 x 8,11,Black,1,0.250,0.25,3035,0,0,1,0,
3035,Plate 4 x 8,7,Blue,8,0.250,2.00,3035,4,0,4,0,
3035,Plate 4 x 8,69,Dark Tan,2,0.375,0.75,3035,1,0,1,0,
3035,Plate 4 x 8,85,Dark Bluish Gray,1,0.250,0.25,3035,1,0,0,0,
3035,Plate 4 x 8,5,Red,1,0.250,0.25,3035,1,0,0,0,
3033,Plate 6 x 10,11,Black,1,0.450,0.45,3033,0,0,1,0,
3033,Plate 6 x 10,85,Dark Bluish Gray,1,0.450,0.45,3033,1,0,0,0,
3028,Plate 6 x 12,88,Reddish Brown,1,0.550,0.55,3028,0,1,0,0,
3958,Plate 6 x 6,11,Black,2,0.300,0.60,3958,0,0,2,0,
3036,Plate 6 x 8,85,Dark Bluish Gray,1,0.350,0.35,3036,0,1,0,0,
41539,Plate 8 x 8,11,Black,2,0.700,1.40,41539,0,0,2,0,
41539,Plate 8 x 8,85,Dark Bluish Gray,4,0.700,2.80,41539,4,0,0,0,
41539,Plate 8 x 8,88,Reddish Brown,2,0.700,1.40,41539,0,2,0,0,
3040,Slope Brick 45 2 x 1,85,Dark Bluish Gray,2,0.060,0.12,3040b,0,0,2,0,
3665,Slope Brick 45 2 x 1 Inverted without Inner Stopper Ring,85,Dark Bluish Gray,28,0.080,2.24,3665a,0,0,28,0,
3665,Slope Brick 45 2 x 1 Inverted without Inner Stopper Ring,86,Light Bluish Gray,32,0.080,2.56,3665a,32,0,0,0,
3039,Slope Brick 45 2 x 2,63,Dark Blue,20,0.120,2.40,3039,0,0,20,0,see Dark Blue roof note
3039,Slope Brick 45 2 x 2,85,Dark Bluish Gray,11,0.080,0.88,3039,0,8,3,0,
3039,Slope Brick 45 2 x 2,5,Red,8,0.080,0.64,3039,8,0,0,0,
3039,Slope Brick 45 2 x 2,88,Reddish Brown,8,0.080,0.64,3039,0,8,0,0,
3039,Slope Brick 45 2 x 2,2,Tan,8,0.080,0.64,3039,0,8,0,0,
3043,Slope Brick 45 2 x 2 Double,11,Black,10,0.150,1.50,3043,0,5,5,0,
3043,Slope Brick 45 2 x 2 Double,59,Dark Red,12,0.225,2.70,3043,6,6,0,0,Red also works
3043,Slope Brick 45 2 x 2 Double,88,Reddish Brown,12,0.150,1.80,3043,0,12,0,0,
3045,Slope Brick 45 2 x 2 Double Convex,63,Dark Blue,32,0.300,9.60,3045,0,0,32,0,Dark Blue roof parts may be scarce - Blue or Black work too (change all roof parts together)
3045,Slope Brick 45 2 x 2 Double Convex,85,Dark Bluish Gray,4,0.200,0.80,3045,0,0,4,0,
3045,Slope Brick 45 2 x 2 Double Convex,5,Red,24,0.200,4.80,3045,24,0,0,0,
3037,Slope Brick 45 2 x 4,63,Dark Blue,16,0.270,4.32,3037,0,0,16,0,see Dark Blue roof note
3037,Slope Brick 45 2 x 4,59,Dark Red,24,0.270,6.48,3037,0,24,0,0,
3037,Slope Brick 45 2 x 4,85,Dark Bluish Gray,19,0.180,3.42,3037,0,16,3,0,
3037,Slope Brick 45 2 x 4,5,Red,32,0.180,5.76,3037,32,0,0,0,
3037,Slope Brick 45 2 x 4,88,Reddish Brown,18,0.180,3.24,3037,0,18,0,0,
3037,Slope Brick 45 2 x 4,2,Tan,16,0.180,2.88,3037,0,16,0,0,
3688,Slope Brick 75 2 x 2 x 2 Quadruple Convex,63,Dark Blue,5,0.600,3.00,3688,0,0,5,0,see Dark Blue roof note
3688,Slope Brick 75 2 x 2 x 2 Quadruple Convex,5,Red,2,0.400,0.80,3688,2,0,0,0,Red spire - Dark Red also works
3070b,Tile 1 x 1 with Groove,85,Dark Bluish Gray,50,0.040,2.00,3070b,0,0,50,0,
3070b,Tile 1 x 1 with Groove,86,Light Bluish Gray,38,0.040,1.52,3070b,38,0,0,0,
3069b,Tile 1 x 2 with Groove,11,Black,1,0.040,0.04,3069b,0,1,0,0,
3069b,Tile 1 x 2 with Groove,63,Dark Blue,4,0.060,0.24,3069b,0,0,0,4,
3069b,Tile 1 x 2 with Groove,69,Dark Tan,4,0.060,0.24,3069b,0,4,0,0,
3069b,Tile 1 x 2 with Groove,86,Light Bluish Gray,23,0.040,0.92,3069b,18,5,0,0,
3069b,Tile 1 x 2 with Groove,5,Red,4,0.040,0.16,3069b,0,0,0,4,
2431,Tile 1 x 4 with Groove,120,Dark Brown,2,0.120,0.24,2431,2,0,0,0,
2431,Tile 1 x 4 with Groove,88,Reddish Brown,2,0.080,0.16,2431,2,0,0,0,
6636,Tile 1 x 6,80,Dark Green,2,0.180,0.36,6636,0,2,0,0,
6636,Tile 1 x 6,5,Red,2,0.120,0.24,6636,0,2,0,0,
6636,Tile 1 x 6,1,White,2,0.120,0.24,6636,0,2,0,0,
6636,Tile 1 x 6,3,Yellow,2,0.120,0.24,6636,0,2,0,0,
3068b,Tile 2 x 2 with Groove,7,Blue,1,0.060,0.06,3068b,0,1,0,0,
3068b,Tile 2 x 2 with Groove,120,Dark Brown,1,0.090,0.09,3068b,0,1,0,0,
3068b,Tile 2 x 2 with Groove,42,Medium Blue,6,0.090,0.54,3068b,2,0,4,0,
